omega,radiating_dof,influenced_dof,wave_direction,added_mass,radiation_damping,diffraction_force_real,diffraction_force_imag,Froude_Krylov_force_real,Froude_Krylov_force_imag,excitation_force_real,excitation_force_imag,inertia_matrix,hydrostatic_stiffness,RAO_real,RAO_imag,g,rho,body_name,water_depth,forward_speed,freq,period,wavenumber,wavelength
0.1,Surge,Surge,0.2617993877991494,74467589391.75247,15953175200.961956,-1790022457.6403084,2723477500.2595487,-1727950514.4140866,-823271449.5229046,-3517972972.0543947,1900206050.736644,1419529153545.4512,0.0,-0.19474217157211715,-0.17430122247502883,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Surge,0.5235987755982988,74467589391.75247,15953175200.961956,-1941504441.5138335,1602995878.8068426,-1841188091.3628478,-1749524610.9952238,-3782692532.8766813,-146528732.1883812,1419529153545.4512,0.0,-0.18909877841312278,-0.03485170043574075,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Surge,1.5707963267948966,74467589391.75247,15953175200.961956,951189703.4797015,1625561225.0875933,389463961.49253035,-63532196.388344646,1340653664.9722319,1562029028.6992488,1419529153545.4512,0.0,3.245078030939826e-05,-0.0004999025335272663,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Surge,3.141592653589793,74467589391.75247,15953175200.961956,3795288423.2164702,-1318698563.71298,-1646089477.001748,489629450.2552133,2149198946.214722,-829069113.4577668,1419529153545.4512,0.0,0.11920135330308712,1.140040927126921,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Sway,0.2617993877991494,757609508.5765034,-260833664.03404593,147035114.7421447,724769727.1159929,-460165814.9637357,-216132505.00809026,-313130700.221591,508637222.10790265,0.0,0.0,-0.19474217157211715,-0.17430122247502883,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Sway,0.5235987755982988,757609508.5765034,-260833664.03404593,630620853.8812929,1276643966.0019646,-1011333964.9041994,-995908729.6069078,-380713111.0229064,280735236.3950567,0.0,0.0,-0.18909877841312278,-0.03485170043574075,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Sway,1.5707963267948966,757609508.5765034,-260833664.03404593,3472923928.0086107,-1143138221.8106766,38388.73510503769,-8959426644.61568,3472962316.743716,-10102564866.426357,0.0,0.0,3.245078030939826e-05,-0.0004999025335272663,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Sway,3.141592653589793,757609508.5765034,-260833664.03404593,-13996996.788814336,-74883176.65567458,216191.98155903816,345053.415712595,-13780804.807255298,-74538123.23996198,0.0,0.0,0.11920135330308712,1.140040927126921,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Heave,0.2617993877991494,129998941786.29915,-4651168762.283374,10954355509.862206,-12632696681.138422,-1868683266.462098,4318156298.57611,9085672243.400108,-8314540382.562312,0.0,0.0,-0.19474217157211715,-0.17430122247502883,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
0.1,Surge,Heave,0.5235987755982988,129998941786.29915,-4651168762.283374,11907463045.139456,-13686937604.119705,-4750742241.1503,5365041237.319605,7156720803.989156,-8321896366.8001,0.0,0.0,-0.18909877841312278,-0.03485170043574075,9.81,1025.0,sree/Hull_cleaned.stl,200.0,0.0,0.015915494309189534,62.83185307179586,0.0023372593024948304,2688.270531418062
